unluler,tweetler,clean,labels
İlber Ortaylı,"Atatürk dünya tarihinin nadiren gördüğü bir dehadır. Birinci Dünya Savaşı’ndan sonra, hiçbir mağlup milletin direniş göstermediği zamanda siviller ve askerlerle dünyaya meydan okumuştur. #29EkimCumhuriyetBayramı https://t.co/IDg9svBtcQ",atatürk dünya tarihinin nadiren gördüğü dehadır birinci dünya savaşından hiçbir mağlup milletin direniş göstermediği zamanda siviller askerlerle dünyaya meydan okumuştur ekimcumhuriyetbayramı idgsvbtc,0
İlber Ortaylı,İstanbul Batılı istilacılar tarafından iki kez işgal edilmişti. İlki Bizans zamanında Latin Haçlı İşgali’dir. İkincisi ise Mütareke dönemiydi ve deyim neredeyse Fatih Sultan Mehmed’den sonra bu defa Mustafa Kemal Paşa’nın Türk ordusu şehri yeniden fethedecekti. https://t.co/5tx9WLw6hj,i̇stanbul batılı istilacılar tarafından kez işgal edilmişti i̇lki bizans zamanında latin haçlı i̇şgalidir i̇kincisi mütareke dönemiydi deyim neredeyse fatih sultan mehmedden defa mustafa kemal paşanın türk ordusu şehri yeniden fethedecekti tlh,0
İlber Ortaylı,"Her zaman, her yerde sevgi ve şefkat. https://t.co/F79XexcbQD",zaman yerde sevgi şefkat fecbd,0
İlber Ortaylı,"“Hangisi Gerçek?”, bu akşam, @tarihtvcomtr, 21.00. https://t.co/ulKLlGy2Kk",gerçek akşam tarihtvcomtr ulkllgykk,0
İlber Ortaylı,"“Türklerin Tarihi”, göçebe bir kavimken Ortadoğu’nun güçlü uygarlıklarından birini tesis eden Türklerin günümüzde de çok konuşulan menşei tartışmalarıyla başlıyor. Akabinde Türkistan’dan Anadolu’ya göç edip bölgeyi Türkleştirmeleri ve orada inşa ettikleri kültürün esasları… https://t.co/bpnbAX165h",türklerin tarihi göçebe kavimken ortadoğunun güçlü uygarlıklarından birini tesis eden türklerin günümüzde konuşulan menşei tartışmalarıyla başlıyor akabinde türkistandan anadoluya göç edip bölgeyi türkleştirmeleri inşa ettikleri kültürün esasları… bpnbah,0
İlber Ortaylı,Atatürk hayatının hiçbir safhasında zamanın ve zeminin olumsuzluklarına teslim olmadı. İşte hayat mücadelesi. https://t.co/e8IDuFJt7X,atatürk hayatının hiçbir safhasında zamanın zeminin olumsuzluklarına teslim olmadı i̇şte hayat mücadelesi eiduft,0
İlber Ortaylı,"Trablusgarp Harbi Hatırası. Derne Kumandanı Kurmay Binbaşı Mustafa Kemal, 1912. https://t.co/uM0715Rtf5",trablusgarp harbi hatırası derne kumandanı kurmay binbaşı mustafa kemal umrtf,0
İlber Ortaylı,"“Hayatı yüksek yaşar; kahkahası binayı inletir, bağırması sokağa taşar, konuşurken bile yüksek sesi metrelerce ötelerden duyulur. Kızdığı zaman da gazabından korunmak gerekir fakat o kızgınlık çok kısa sürer ve sonra hiçbir şey olmamış gibi sakinleşir.” Tuna Ortaylı Kazıcı https://t.co/S4uwOa3FRW",hayatı yüksek yaşar kahkahası binayı inletir bağırması sokağa taşar konuşurken yüksek sesi metrelerce ötelerden duyulur kızdığı zaman gazabından korunmak gerekir kızgınlık kısa sürer hiçbir olmamış sakinleşir tuna ortaylı kazıcı suoafr,0
İlber Ortaylı,"Bu akşam 21.00, @fatihaltayli, Habertürk TV. https://t.co/o4JN6yW31y",akşam fatihaltayli habertürk tv onyy,0
İlber Ortaylı,"Türkler tarihin her safhasında görünen, tarihi inşa eden kavimlerden biridir. Bugünkü medeni dünyada hiçbir eski dünya kavmi ve ülke yoktur ki Türkler olmadan tarihini yazabilsin. https://t.co/TXiCQYNcer",türkler tarihin safhasında görünen tarihi inşa eden kavimlerden biridir bugünkü medeni dünyada hiçbir eski dünya kavmi ülke yoktur türkler olmadan tarihini yazabilsin ticyncer,0
İlber Ortaylı,"İkinci Dünya Savaşı’nda Mussolini’ye karşı Yunanistan’ı savunan, ünlü komutan Ioannis Metaksas “Oraya çıkmayın, Türk ordusu karşınıza çıkar, sizi mahveder” diye uyarmıştı, dediği gibi oldu. 100 yıl önce, 9 Eylül’de Gazi Mustafa Kemal Paşa ve kıt’alar İzmir’e törenle girdi. https://t.co/Uzoop2iLIu",i̇kinci dünya savaşında mussoliniye karşı yunanistanı savunan ünlü komutan ioannis metaksas oraya çıkmayın türk ordusu karşınıza çıkar mahveder uyarmıştı dediği oldu yıl eylülde gazi mustafa kemal paşa kıtalar i̇zmire törenle girdi uzoopiliu,0
İlber Ortaylı,"Tavsiye: Dr. Selim Erdoğan @HarpCografyasi, ‘Büyük Taarruz’ kitabında ‘Sakarya’dan sonra Milli Mücadele’nin tarihi üzerine yerli ve yabancı kaynakları mukayeseli olarak kullanıyor. Coğrafya ve stratejiyi mükemmel bir şekilde işliyor. https://t.co/q3hh60UDLm",tavsiye dr selim erdoğan harpcografyasi büyük taarruz kitabında sakaryadan milli mücadelenin tarihi üzerine yerli yabancı kaynakları mukayeseli olarak kullanıyor coğrafya strateiyi mükemmel şekilde işliyor hhudlm,0
İlber Ortaylı,Etrafındakiler “duralım” derken Atatürk “ilerliyoruz” dedi. https://t.co/PZMp6I4zjF,etrafındakiler duralım derken atatürk ilerliyoruz dedi pzmpizf,0
İlber Ortaylı,"29 Ağustos 1526’daki Mohaç zaferi Avrupa tarihinin değiştiği bir olay, Türklerin zirve noktası olarak kabul edilebilir. Yaklaşık 400 yıl sonra Başkumandanlık Meydan Muharebesi’nde kazanılan zaferse, Türklerin Küçük Asya’daki anavatanlarını savunmalarının zaferidir. https://t.co/wYSfUZfHAj",ağustos daki mohaç zaferi avrupa tarihinin değiştiği olay türklerin zirve noktası olarak kabul edilebilir yaklaşık yıl başkumandanlık meydan muharebesinde kazanılan zaferse türklerin küçük asyadaki anavatanlarını savunmalarının zaferidir ysfuzfha,0
İlber Ortaylı,"- Mustafa Kemal'i gördün mü hiç? 
- Gördüm.
- Neler söyledi?
- ""Korkmayın... Türk'ün gücüyle ezin"" dedi. Biz de yaptık...
#AnafartalarZaferi https://t.co/WlT3TZGjZa",mustafa kemali gördün gördüm neler söyledi korkmayın türkün gücüyle ezin dedi yaptık anafartalarzaferi lttzgza,0
İlber Ortaylı,"Halil İnalcık Hoca bir müessesedir, bir kurumdur. Bu ülkenin yetiştirdiği, iftihar edeceği bir münevverdir. Saygıyla… https://t.co/lK2Kz8KJh7",halil i̇nalcık hoca müessesedir kurumdur ülkenin yetiştirdiği iftihar edeceği münevverdir saygıyla… lkkzkh,0
İlber Ortaylı,"Bazı üniversite hocalarının bile kaynak gösterdiği amatör tarihçilerin işkembe-i kübradan attıkları gibi “Oniki Adalar’ın teslimi, 2.5 milyon km² vatan toprağının 780 bin km²’ye düşüşü” gibi efsanelerin Lozan’la ilgisi yoktur. Bunlar boş konuşmalardır. https://t.co/fQA3EBYF5C",üniversite hocalarının kaynak gösterdiği amatör tarihçilerin işkembei kübradan attıkları oniki adaların teslimi milyon km² vatan toprağının bin km²ye düşüşü efsanelerin lozanla ilgisi yoktur bunlar boş konuşmalardır faebyfc,0
İlber Ortaylı,Doktor ve hemşirelere saldırı âdet haline geldi. Saldırılar doğal bir kızgınlık veya bunalımla meydana gelen bir olay olmaktan çıktı. Bunların hepsi ahlak ve insanlık dışıdır. Bakanlık baştan aşağı sukutuhayal konusudur. Böyle giderse yakında hekimsiz ve hemşiresiz kalacağız.,doktor hemşirelere saldırı âdet haline geldi saldırılar doğal kızgınlık bunalımla meydana gelen olay olmaktan çıktı bunların ahlak insanlık dışıdır bakanlık baştan aşağı sukutuhayal konusudur giderse yakında hekimsiz hemşiresiz kalacağız,0
İlber Ortaylı,Kendisini kıskananların farkına varmayacak kadar saf bir karakteri vardı. Küçük hesapları olmayan büyük adamlara has bir özelliktir. Şüphesiz ki Türkiye’de aktörlüğü ciddiyetle götüren unutulmayacak bir büyük adam hayatımızdan kaydı. https://t.co/KPrCaLb14I,kendisini kıskananların farkına varmayacak saf karakteri vardı küçük hesapları olmayan büyük adamlara has özelliktir şüphesiz türkiyede aktörlüğü ciddiyetle götüren unutulmayacak büyük adam hayatımızdan kaydı kprcalbi,0
İlber Ortaylı,"Ankara, 1949. Küçük İlber’in elini babası Kemal Bey sıkı sıkı tutmuş... https://t.co/Qi3hM5EzdX",ankara küçük i̇lberin elini babası kemal bey sıkı sıkı tutmuş ihmezd,0
İlber Ortaylı,Cahille sohbet keyiftir; ona ders anlatırken kendin de öğrenirsin. Ama yarı cahille sohbeti derhal kesmek lazım çünkü delirebilirsin. O güya her şeyi bilir. https://t.co/uFWUOZI2zr,cahille sohbet keyiftir ders anlatırken kendin öğrenirsin yarı cahille sohbeti derhal kesmek lazım delirebilirsin güya bilir ufuozizr,0
İlber Ortaylı,Doğum günü vesilesiyle gelen birbirinden güzel mesajlara teşekkürler. https://t.co/ssPCKyEjyr,doğum günü vesilesiyle gelen birbirinden güzel mesalara teşekkürler sspckyeyr,0
İlber Ortaylı,"“Fatih Sultan Mehmet olmasaydı bugünkü hudutlarıyla bir Türkiye olmazdı. İstanbul’u alan Fatih’i, İstanbul’u kurtaran Atatürk’e benzetirim.”
Halil İnalcık
https://t.co/3nZjLAexq1 https://t.co/U9UcMfc9zN",fatih sultan mehmet olmasaydı bugünkü hudutlarıyla türkiye olmazdı i̇stanbulu alan fatihi i̇stanbulu kurtaran atatürke benzetirim halil i̇nalcık nzlae uucmfczn,0
İlber Ortaylı,"21 Mayıs 1947 tarihinde doğan, Türkiye'ye tarihi sevdiren İlber Ortaylı 75 yaşında! https://t.co/xBNfzDolMY",mayıs tarihinde doğan türkiyeye tarihi sevdiren i̇lber ortaylı yaşında bnfzdolmy,0
İlber Ortaylı,"Zamanın kaybolmuşu yoktur. Yaşanan her şey, müspet, menfi, bizi inşa eder. Yalnız bizi değil, bizden sonraki kuşakları da…

“Zaman Kaybolmaz” benim hayat hikâyem. Yorumlarınızı merakla beklemekteyim... https://t.co/1PHrJ0Qhdh",zamanın kaybolmuşu yoktur yaşanan müspet menfi inşa eder yalnız bizden sonraki kuşakları da… zaman kaybolmaz hayat hikâyem yorumlarınızı merakla beklemekteyim phrhdh,0
İlber Ortaylı,"Sizler için hazırladığım “Atatürk’ü Anlamak” eğitimi, ücretsiz olarak @Neo_Skola’da yayınlandı. https://t.co/RK66Ik6ne0 adresinden ücretsiz olarak izleyebilirsiniz.",sizler hazırladığım atatürkü anlamak eğitimi ücretsiz olarak neoskolada yayınlandı rkikne adresinden ücretsiz olarak izleyebilirsiniz,0
İlber Ortaylı,Atatürk’ün mücadelesinden Türk gencine düşen pay. https://t.co/LX0gXjCpYk,atatürkün mücadelesinden türk gencine düşen pay lgcpyk,0
İlber Ortaylı,"Mülteci açıklamalarıyla ilgili eleştirilere yanıt. Tamamı için:
https://t.co/sqes4cvZI5 https://t.co/1K9p60lm1C",mülteci açıklamalarıyla ilgili eleştirilere yanıt tamamı sescvzi kplmc,0
İlber Ortaylı,"İspanya da para kazanıyor, otelciler var, inşaat şirketleri ve müteahhitler var, fabrikalar var ama önüne gelen nehir ve dereleri kirletmiyor, canının istediği yere mendebur binalar çıkamıyor. Hele tarihi eserleri gölgelemeye kimsede cesaret ve vicdan yok. https://t.co/t8hhiUJdaQ https://t.co/PE5lvJOPgj",i̇spanya para kazanıyor otelciler inşaat şirketleri müteahhitler fabrikalar önüne gelen nehir dereleri kirletmiyor canının istediği yere mendebur binalar çıkamıyor hele tarihi eserleri gölgelemeye kimsede cesaret vicdan yok thhiuda pelvopg,0
İlber Ortaylı,"Etkinlikler:
11 Mayıs - İstanbul Üniversitesi-Cerrahpaşa
12 Mayıs - İstanbul Medeniyet Üniversitesi
13 Mayıs - Ankara Üniversitesi
14 Mayıs - Kırşehir Kitap Fuarı https://t.co/d6chNKuimR",etkinlikler mayıs i̇stanbul üniversitesicerrahpaşa mayıs i̇stanbul medeniyet üniversitesi mayıs ankara üniversitesi mayıs kırşehir kitap fuarı dchnkuimr,0
İlber Ortaylı,Yer yer bize karşı çok sert yer yer de çok yumuşak ama prensip olarak ayakta durmamıza dikkat eden bir eğitimi vardı. Hiç şımartmazdı. Beni şımartması ancak çok ihtiyarladığı benim de artık olgunluk çağına dayandığım sıradaydı. https://t.co/y4Grby9o6Z,yer yer karşı sert yer yer yumuşak prensip olarak ayakta durmamıza dikkat eden eğitimi vardı şımartmazdı şımartması ihtiyarladığı olgunluk çağına dayandığım sıradaydı ygrbyoz,0
İlber Ortaylı,"Atatürk nasıl bir gençlik istiyordu? Bu çok açık. “Andımız”da cevabı var: “Türk’üm, doğruyum, çalışkanım.” Neden kaldırdı anlamış değiliz. Sizlere İyi bayramlar diliyorum ve andımızdaki deyişleri unutmamanızı temenni ediyorum. https://t.co/C5asszjGpe",atatürk gençlik istiyordu açık andımızda cevabı türküm doğruyum çalışkanım kaldırdı anlamış değiliz sizlere i̇yi bayramlar diliyorum andımızdaki deyişleri unutmamanızı temenni ediyorum casszgpe,0
İlber Ortaylı,"Kitap çalışmalarına kısa bir ara.
İşbiliye diğer adıyla Sevilla sokaklarında... https://t.co/bM4pBi7AW1",kitap çalışmalarına kısa ara i̇şbiliye adıyla sevilla sokaklarında bmpbia,0
İlber Ortaylı,"Candaş Tolga Işık sordu, İlber Ortaylı tarihe ve hayata dair soruları kendi üslubuyla ""Cahille Sohbeti Kestim""in YENİ bölümünde cevapladı!
https://t.co/8c10XbasJB https://t.co/8vJ3gJ7IJe",candaş tolga işık sordu i̇lber ortaylı tarihe hayata dair soruları üslubuyla cahille sohbeti kestimin yeni̇ bölümünde cevapladı cbasb vgie,0
İlber Ortaylı,"Birlikte güldüğünüz ve üzüldüğünüz kişileri dost olarak seçin. İnsan ancak dostlarıyla ayakta kalır. Dostunuz yoksa bedbaht bir insansınız demektir, geçmiş olsun. İnsan ailesine karşı nasıl sorumluysa, zor zamanda dostuna karşı da öyle sorumludur. https://t.co/Prvommkfxj",birlikte güldüğünüz üzüldüğünüz kişileri dost olarak seçin i̇nsan dostlarıyla ayakta kalır dostunuz bedbaht insansınız demektir geçmiş olsun i̇nsan ailesine karşı sorumluysa zor zamanda dostuna karşı sorumludur prvommkf,0
İlber Ortaylı,"Candaş Tolga Işık sordu, İlber Ortaylı tarihe ve hayata dair soruları kendi üslubuyla ""Cahille Sohbeti Kestim""in YENİ bölümünde cevapladı! 
https://t.co/jaPoAYZVy8 https://t.co/GyAIW0D78B",candaş tolga işık sordu i̇lber ortaylı tarihe hayata dair soruları üslubuyla cahille sohbeti kestimin yeni̇ bölümünde cevapladı apoayzvy gyaidb,0
İlber Ortaylı,"“İnsan ölmekten değil, yaşamaya hiç başlamamaktan korkmalıdır.” https://t.co/Sa5NUJ94JY",i̇nsan ölmekten yaşamaya başlamamaktan korkmalıdır sanuy,0
İlber Ortaylı,Teşekkürler Ankara. Uzun bir aradan sonra bir araya gelmek muhteşemdi. Konferansa ve son kitabım “İnsan Geleceğini Nasıl Kurar?”a gösterdiğiniz ilgi için müteşekkirim. https://t.co/fHJJG55NcF,teşekkürler ankara uzun aradan araya gelmek muhteşemdi konferansa kitabım i̇nsan geleceğini kurara gösterdiğiniz ilgi müteşekkirim fhgncf,0
İlber Ortaylı,“18 Mart Çanakkale Zaferi” özel yayını @kafatv_’de. Tamamını izlemek için: https://t.co/M9XjALKte6 https://t.co/SWYtVXsrs6,mart çanakkale zaferi özel yayını kafatvde tamamını izlemek malkte sytvsrs,0
İlber Ortaylı,"Bu akşam 23.00, @fatihaltayli, Habertürk TV. https://t.co/byxEuidPz6",akşam fatihaltayli habertürk tv byeuidpz,0
İlber Ortaylı,Tabiatla edebsizce ve şuursuzca mücadeleye girerseniz cevabını alırsınız. Dağı delerek elde edilecek gelir bir gün bitecek ama ağaçlar sonsuza dek kalacak. https://t.co/dpohV4pxYR,tabiatla edebsizce şuursuzca mücadeleye girerseniz cevabını alırsınız dağı delerek elde edilecek gelir gün bitecek ağaçlar sonsuza dek kalacak dpohvpyr,0
İlber Ortaylı,"Türkiye zeytinlikleri hiç de küçümsenecek miktarda değil, daha doğrusu değildi. Çok ciddi tedbirler almazsak bırakın etrafa zeytin satmayı, kendi ihtiyacımızı bile karşılayamayacak duruma düşeceğiz. Bugün yayınlanan yönetmelik mutlaka gözden geçirilmeli, yoksa çok geç olacak. https://t.co/gd9C2xWWvP",türkiye zeytinlikleri küçümsenecek miktarda doğrusu değildi ciddi tedbirler almazsak bırakın etrafa zeytin satmayı ihtiyacımızı karşılayamayacak duruma düşeceğiz bugün yayınlanan yönetmelik mutlaka gözden geçirilmeli geç olacak gdcvp,0
İlber Ortaylı,Tarih yine haklı çıkardı. Montrö Boğazlar Sözleşmesi geçerliliğini koruyan ve önemi artan bir antlaşma. https://t.co/N0OWTuG1D3,tarih haklı çıkardı montrö boğazlar sözleşmesi geçerliliğini koruyan önemi artan antlaşma notugd,0
İlber Ortaylı,Yeni kitaba ilk dokunuşun heyecanı ve okura sesleniş... https://t.co/7XA2psgFF9,yeni kitaba ilk dokunuşun heyecanı okura sesleniş apsgff,0
İlber Ortaylı,"“İnsan Geleceğini Nasıl Kurar? - Kendini İnşa Etmenin Yolları”, çok yakında tüm kitapçılarda... https://t.co/rQVRzxNrQB",i̇nsan geleceğini kurar i̇nşa etmenin yolları yakında kitapçılarda rvrznrb,0
İlber Ortaylı,"Çoğu insanın yol açmaya cesareti yoktur. Ya sağa döner ya sola; üçüncü bir yoldan yürümek istemez. Hep hazır yola sapmaya çalışır. Bu bir cüret, cesaret meselesidir. Ama şunu bilin ki, hayatta ancak kendi fillerini Alp Dağı’ndan aşıran, aşırmayı düşleyen insanlar başarılı olur. https://t.co/kCnz6l3Nzq",insanın yol açmaya cesareti yoktur sağa döner sola üçüncü yoldan yürümek istemez hazır yola sapmaya çalışır cüret cesaret meselesidir bilin hayatta fillerini alp dağından aşıran aşırmayı düşleyen insanlar başarılı olur kcnzlnz,0
İlber Ortaylı,"Sempatik ve şefkatliydi. Şüphesiz ki her toplum gibi Türk toplumunun da böyle çalışkan, mutedil, yol göstericilere ihtiyacı vardır. Doğan Cüceloğlu internette rahatlıkla bulunabilen program kayıtlarıyla ve eserleriyle aramızda yaşamaya devam edecek. https://t.co/G4wNmmvwWz",sempatik şefkatliydi şüphesiz toplum türk toplumunun çalışkan mutedil yol göstericilere ihtiyacı vardır doğan cüceloğlu internette rahatlıkla bulunabilen program kayıtlarıyla eserleriyle aramızda yaşamaya devam edecek gnmmvz,0
İlber Ortaylı,"“En başarılı Türk liderler hangileri? İsmet İnönü başarılı bir siyasetçi miydi? Candaş Tolga Işık sordu, İlber Ortaylı tarihe ve hayata dair soruları kendi üslubuyla cevapladı.”
https://t.co/e6ppRerAu3 https://t.co/6ursGSn8Cb",başarılı türk liderler hangileri i̇smet i̇nönü başarılı siyasetçi miydi candaş tolga işık sordu i̇lber ortaylı tarihe hayata dair soruları üslubuyla cevapladı epprerau ursgsncb,0
İlber Ortaylı,"Coğrafya kader midir?
Programın tamamı için: 
https://t.co/N0p5xs1i74 https://t.co/IG3Gzpyst3",coğrafya kader midir programın tamamı npsi iggzpyst,0
İlber Ortaylı,"Türkiye, İstanbul’u mütarekede dahi kaybetmedi. Savunmasını ve geri almasını bildi ama asıl içimizden çıkan açgözlülük, plansızlık ve “adam sendecilik”le gerçekleşen şehirleşme pek yenilecek düşman gibi görünmüyor. Fotoğraf Süleymaniye Külliyesi’nden. Bakalım dur diyen olacak mı? https://t.co/sr8PmbvkNg",türkiye i̇stanbulu mütarekede dahi kaybetmedi savunmasını geri almasını bildi asıl içimizden çıkan açgözlülük plansızlık adam sendecilikle gerçekleşen şehirleşme pek yenilecek düşman görünmüyor fotoğraf süleymaniye külliyesinden bakalım dur diyen olacak srpmbvkng,0
İlber Ortaylı,Kimsenin şüphesi olmasın; hukukunu müdafaa edemeyecek tarihi büyüklerimizin savunmasını tarihçiler ve tarih bilenler yapacaktır. https://t.co/qb0oJK6niC,kimsenin şüphesi olmasın hukukunu müdafaa edemeyecek tarihi büyüklerimizin savunmasını tarihçiler tarih bilenler yapacaktır boknic,0
İlber Ortaylı,"Bir toplumun gelişmişlik düzeyi… 
Tamamı için: https://t.co/gIY9xeisId https://t.co/kphaCV9voS",toplumun gelişmişlik düzeyi… tamamı giyeisid kphacvvos,0
İlber Ortaylı,https://t.co/IOpQM2buxr,iopmbur,0
İlber Ortaylı,"Halil İnalcık’ın kitapları tekrar tekrar basılmalı, okunmalı. “Atatürk ve Demokratik Türkiye”, cumhuriyetimizin kurucusu Atatürk ile devrimlerinin kaynağını daha iyi öğrenmek, modernleşen Türkiye’nin sorunlarını daha iyi anlamak için eşsiz bir eser… https://t.co/QJT1wUsnFl",halil i̇nalcıkın kitapları tekrar tekrar basılmalı okunmalı atatürk demokratik türkiye cumhuriyetimizin kurucusu atatürk devrimlerinin kaynağını iyi öğrenmek modernleşen türkiyenin sorunlarını iyi anlamak eşsiz eser… tusnfl,0
İlber Ortaylı,Roman Kahramanları Festivali düzenleyen gençlerin heyecanını öldürmeye kimsenin hakkı yok. Hiç şüphesiz eğitim sorunlarıyla ilgilenmek ve söz söylemek herkesin hakkı ama “hödüklük” ile yapılması gerekmiyor. Adı geçen Cemil Meriç bu olayları görse çok üzülür ve acı acı gülümserdi. https://t.co/Q45afg4QtF,roman kahramanları festivali düzenleyen gençlerin heyecanını öldürmeye kimsenin hakkı yok şüphesiz eğitim sorunlarıyla ilgilenmek söz söylemek herkesin hakkı hödüklük yapılması gerekmiyor adı geçen cemil meriç olayları görse üzülür acı acı gülümserdi afgtf,0
İlber Ortaylı,"Torun sevgisi bir başka...
Deniz Ali’yle. https://t.co/bErgB3kpnS",torun sevgisi başka deniz aliyle bergbkpns,0
İlber Ortaylı,"İsmet Bey (İnönü) arkadaşlarıyla Balkanlar'da, Kafkaslar'da, Yemen'de kurmaylık tecrübesini geliştirmişti. Birinci Dünya Savaşı’nın bu genç kumanda sınıfı daha sonra Kurtuluş Savaşı'nı başarıyla yürütmüştür. Britanya’nın kini de buradan ileri gelmektedir. Minnetle yad ediyoruz. https://t.co/3ktTZkEoiR",i̇smet bey i̇nönü arkadaşlarıyla balkanlarda kafkaslarda yemende kurmaylık tecrübesini geliştirmişti birinci dünya savaşının genç kumanda sınıfı kurtuluş savaşını başarıyla yürütmüştür britanyanın kini buradan ileri gelmektedir minnetle yad ediyoruz kttzkeoir,0
İlber Ortaylı,"İki asırdır evlatlarımızı tıp alanında büyük fedakârlıklarla yetiştirdik. Bugün yabancı dil kursları sağlık personeliyle dolu. Ne yapsınlar ki? Maaşlar ortada. Üstelik doktor, hemşire dövme modası devam ediyor.  Önlem almazsak yakında hekimsiz ve hemşiresiz kalacağız. https://t.co/2fcSuR6qiF",i̇ki asırdır evlatlarımızı tıp alanında büyük fedakârlıklarla yetiştirdik bugün yabancı dil kursları sağlık personeliyle dolu yapsınlar maaşlar ortada üstelik doktor hemşire dövme modası devam ediyor önlem almazsak yakında hekimsiz hemşiresiz kalacağız fcsurif,0
İlber Ortaylı,"Nizamettin Oral’ın haklı isyanı, Pompei kentini keşfeden İtalyan köylüsünün veya memleketindeki mirasa dikkat etmek ve korumakta devletle yarışan, devleti seferber eden İsrailli çiftçilerinkine benziyor. Doğrusu kutlanacak bir vatansever. https://t.co/sunPLRF9VP",nizamettin oralın haklı isyanı pompei kentini keşfeden i̇talyan köylüsünün memleketindeki mirasa dikkat etmek korumakta devletle yarışan devleti seferber eden i̇srailli çiftçilerinkine benziyor doğrusu kutlanacak vatansever sunplrfvp,0
İlber Ortaylı,"Zonguldak’ın Çaycuma ilçesi, Kadıoğlu köyünde bulunan Roma villası ve mozaikler. 2018’de hazırlanan koruma çatısı projesi halen yapılmadığı için, üzeri basit bir örtüyle kapatılarak korunmaya çalışılan eserler kaybolma ve çalınma tehdidi altında. https://t.co/ptcloOu8Lo",zonguldakın çaycuma ilçesi kadıoğlu köyünde bulunan roma villası mozaikler hazırlanan koruma çatısı proesi halen yapılmadığı üzeri basit örtüyle kapatılarak korunmaya çalışılan eserler kaybolma çalınma tehdidi altında ptclooulo,0
